domain_nm,description,best_url_match,tag_source
thetradedesk.com,"The Trade Desk provides a leading independent omnichannel Demand-Side Platform (DSP) that empowers data-driven marketers to find new audiences and grow brands across diverse digital channels, leveraging advanced features like AI and objective measurement, with clear calls to action to ""Get started"" or ""Contact us"" for their solutions.",thetradedesk.com,1
indexexchange.com,"Index Exchange is a global supply-side platform revolutionizing ad technology by enabling media owners to grow revenue and marketers to efficiently reach consumers across all screens and formats through a transparent, high-quality omnichannel marketplace, featuring solutions like Index Cloud and various addressability and data tools, with calls to action to explore their platform and contact them.",indexechange.com,1
liveramp.com,"LiveRamp provides a trusted, AI-powered data collaboration network that unifies fragmented customer data for identity resolution, media activation, and measurable marketing impact across a vast ecosystem of platforms and partners, emphasizing privacy and data governance, with calls to action to discover more, explore solutions, or talk to an expert.",liveramp.com,1
northbeam.io,"Northbeam is a marketing analytics platform offering multi-touch attribution, media mix modeling, and AI-powered integrations like Apex to help businesses maximize marketing profitability and reduce wasted ad spend, with multiple calls to action to book a demo.",northbeam.io,1
groundtruth.com,"GroundTruth, now part of ZeroToOne.AI, is an omnichannel performance advertising platform that simplifies launching campaigns using real-world and predictive intelligence to drive verifiable results and real-world ROI, encouraging users to ""Launch your campaign"" or ""Request a demo.""",thetradedesk.com,0
taboola.com,"Taboola provides a performance advertising platform designed to help businesses achieve measurable outcomes, conversions, and actions at scale beyond traditional search and social channels, leveraging specialized AI, diverse inventory on trusted media properties, and first-party data, with clear calls to action to ""Get Started"" or ""Contact Us.""",indexexchange.com,0
mogl.com,"Mogl empowers brands and agencies with transparent, direct access to The Trade Desk for programmatic advertising, alongside comprehensive services for DSP management (including Mogl Pass), retail media activation, and data enablement, frequently prompting users to ""Schedule a Demo"" or ""Learn More"" for greater control and optimized results.",liveramp,0
zetaglobal.com,"Zeta Global offers ""Athena by Zeta,"" an AI-powered marketing platform that unifies identity, data, and AI to help enterprise brands and agencies achieve precise, measurable customer acquisition, growth, and retention across the full lifecycle, with calls to action to request a demo or register for Zeta Live.",liveramp.com,0
vibe.co,"Vibe.co, a streaming TV advertising platform now part of Walmart, empowers businesses of all sizes to easily create, launch, and measure targeted ad campaigns across over 500 premium channels with features like audience targeting, AI optimization, and extensive integrations, inviting users to get started or book a demo.",northbeam.io,0
triplelift.com,"TripleLift provides an ""orchestration era"" advertising platform that unifies data, creative, and supply into a coordinated system, enabling advertisers, publishers, and partners to achieve measurable impact and improved performance across diverse ad formats and channels, with calls to action to benchmark yield and get connected.",indexexchange.com,0
funnel.io,"Funnel is a marketing intelligence platform that centralizes and unifies fragmented marketing data from over 600 sources into a reliable foundation, offering products like Funnel Data Hub and Funnel Measure to enable automated reporting, advanced measurement, and AI workflows for marketing and data teams, with a primary call to action to ""Get a demo"" or ""Book a discovery call.""",northbeam.io,0
polaranalytics.com,"Polar Analytics is an all-in-one data platform designed for ecommerce brands and agencies, providing unified insights, data activations, and AI agents through a robust data stack to maximize profit and accelerate growth, with calls to action to book a demo or try an instant demo.",northbeam.io,0
pubmatic.com,"PubMatic is an AI-powered ad tech company that provides a unified platform, including AgenticOS, to connect buyers, publishers, data partners, and commerce media across CTV, mobile, and omnichannel environments for measurable advertising performance, with clear calls to action to explore specific solutions or contact them directly.",indexexchange,0
criteo.com,"Criteo offers a Commerce Media Platform powered by AI and commerce intelligence to help advertisers, retailers, media owners, and agencies drive measurable outcomes across performance and retail media, with clear calls to ""Contact Sales"" or ""Learn more"" about specific tools like the self-service ""Criteo GO.""",Unknown,0
quantcast.com,"Quantcast offers an AI-powered ad platform that autonomously optimizes campaigns for performance marketers by turning real-time insights into competitive advantage and offering cookieless solutions across all channels, encouraging prospective clients to book a demo.",thetradedesk.com,0
openx.com,"OpenX is an Intelligent SSP™ providing a suite of adtech products including OpenXSelect, OpenXBuild, OpenXControl, and OpenXExchange, to simplify programmatic advertising for advertisers, publishers, and partners through quality media, privacy-forward targeting, and adaptable solutions, encouraging users to ""Learn More"" or ""Contact Us.""",indexexchange.com,0
